LASTREPORTEDDATE,STATION_ID,REGION_ID,RegionName,STATIONNAME,SHORT_NAME,LATITUDE,LONGITUDE,NUM_EBIKES_AVAILABLE,NUM_BIKES_AVAILABLE,NUM_DOCKS_AVAILABLE,CAPACITY,HAS_KIOSK
11/26/2019,426,10,Boston,Surface Rd at Summer St,A32042,42.352946,-71.056564,0,25,2,27,TRUE
11/26/2019,345,10,Boston,Park Plaza at Charles St S.,D32042,42.351828,-71.067811,0,16,2,19,TRUE
11/26/2019,415,10,Boston,Stuart St at Berkeley St,D32049,42.349544,-71.072421,0,17,2,19,TRUE
11/26/2019,372,10,Boston,Boylston St at Exeter St,D32046,42.349589,-71.079468,0,17,2,19,TRUE
11/26/2019,370,10,Boston,Dartmouth St at Newbury St,D32045,42.350961,-71.077828,0,17,2,19,TRUE
11/26/2019,228,8,Cambridge,One Memorial Drive,M32053,42.361619,-71.080436,0,17,2,19,TRUE
11/26/2019,90,8,Cambridge,Lechmere Station at Cambridge St / First St,M32001,42.370677,-71.076529,0,17,2,19,TRUE
11/26/2019,337,10,Boston,Roslindale Village - South St,C32047,42.287072,-71.127754,0,13,2,15,TRUE
11/26/2019,91,8,Cambridge,One Kendall Square at Hampshire St / Portland St,M32002,42.366277,-71.09169,0,17,2,19,TRUE
11/26/2019,108,8,Cambridge,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,M32023,42.377945,-71.116865,0,15,2,17,TRUE
11/26/2019,24,10,Boston,Seaport Square - Seaport Blvd at Northern Ave,B32007,42.351482,-71.044361,0,18,1,19,TRUE
11/26/2019,331,10,Boston,Huntington Ave at Mass Art,B32033,42.336586,-71.09887,0,14,1,15,TRUE
11/26/2019,318,8,Cambridge,Ames St at Broadway,M32059,42.363693,-71.087567,0,18,1,19,TRUE
11/26/2019,203,10,Boston,Columbia Rd at Ceylon St,B32029,42.309572,-71.0729,0,14,1,15,TRUE
11/26/2019,174,10,Boston,Washington St at Brock St,D32029,42.348953,-71.160317,0,13,1,15,TRUE
11/26/2019,157,10,Boston,Seaport Blvd at Sleeper St,C32036,42.353178,-71.048174,0,14,1,15,TRUE
11/26/2019,73,8,Cambridge,Harvard Square at Brattle St / Eliot St,M32017,42.373231,-71.120886,0,14,1,15,TRUE
11/26/2019,23,10,Boston,Boston City Hall - 28 State St,B32008,42.35892,-71.057629,0,20,1,21,TRUE
11/26/2019,7,10,Boston,Fan Pier,A32000,42.353391,-71.044571,0,14,1,15,TRUE
11/26/2019,385,10,Boston,Albany St at E. Brookline St,C32061,42.336648,-71.068945,0,15,0,15,TRUE
11/26/2019,218,10,Boston,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,C32034,42.351586,-71.045693,0,15,0,15,TRUE
11/26/2019,54,10,Boston,Tremont St at West St,D32014,42.354979,-71.063348,0,15,0,15,TRUE
1/2/1970,32,10,Boston,Landmark Center - Brookline Ave at Park Dr,B32015,42.345194,-71.101697,0,0,0,0,FALSE
11/26/2019,19,10,Boston,Park Dr at Buswell St,A32008,42.347241,-71.105301,0,0,0,15,TRUE
11/26/2019,443,10,Boston,Whittier St Health Center,B32059,42.332863,-71.092189,0,18,0,19,TRUE
1/2/1970,5,10,Boston,Northeastern University - North Parking Lot,B32012,42.341814,-71.090179,0,0,0,15,TRUE
11/26/2019,446,10,Boston,700 Commonwealth Ave.,B32060,42.349609,-71.103915,0,12,0,12,TRUE
